Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit
blueCarp,AT,14,33,78.142.145.141,tor-anonymizer.00010111.at,443,80,0,0,1,0,1,1,1,1,1,Tor 0.2.1.22 on FreeBSD i386,0,0
BlueStar02,DE,903,92,217.160.111.190,p15163314.pureserver.info,443,80,0,0,1,1,1,1,1,1,1,Tor 0.2.1.26 on Linux i686,0,0
BlueStar88a,DE,95,42,217.172.187.72,neapel072.server4you.de,443,8080,0,0,1,1,1,1,1,1,1,Tor 0.2.1.26 on Linux x86_64,0,0
BlueStar88x2,DE,88,61,88.84.153.114,v38414.1blu.de,443,8080,0,0,1,1,1,1,1,1,1,Tor 0.2.1.26 on Linux x86_64,0,0
blutmagie,DE,7800,8,192.251.226.206,anonymizer2.blutmagie.de,443,80,0,1,1,1,1,1,1,1,1,Tor 0.2.2.16-alpha (git-61e0079ab25db6c3) on Linux x86_64,0,0
blutmagie2,DE,7408,8,192.251.226.206,anonymizer2.blutmagie.de,8080,None,0,1,1,1,1,1,1,1,0,Tor 0.2.2.16-alpha (git-61e0079ab25db6c3) on Linux x86_64,0,0
blutmagie3,DE,7882,8,192.251.226.205,anonymizer.blutmagie.de,443,80,0,1,1,1,1,1,1,1,1,Tor 0.2.2.16-alpha (git-61e0079ab25db6c3) on Linux x86_64,0,0
blutmagie4,DE,7195,8,192.251.226.205,anonymizer.blutmagie.de,22,None,0,1,1,1,1,1,1,1,0,Tor 0.2.2.16-alpha (git-61e0079ab25db6c3) on Linux x86_64,0,0
bmwanon,DE,608,69,188.40.172.119,anonymous.zq1.de,443,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.1.26 on Linux x86_64,0,0
bolg,SE,7,3,87.227.83.103,103.83.227.87.static.lio.siw.siwnet.net,9001,None,0,1,1,0,1,1,1,1,0,Tor 0.2.1.20 on Linux i686,0,0
bombaysun1,US,810,127,24.124.0.65,24.124.0.65,9001,9030,0,0,1,1,1,1,1,1,1,Tor 0.2.1.26 on Linux i686,0,0
bones0atpstrichguhl,CH,0,1,217.150.250.224,pguhl.nine.ch,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.1.2.19 on Linux x86_64,0,0
BossaNovaBlame,US,36,4,98.28.231.208,cpe-98-28-231-208.woh.res.rr.com,9001,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.1.26 on Linux i686,0,0
bostiq,AU,2,0,118.210.140.178,ppp118-210-140-178.lns20.adl6.internode.on.net,9001,9030,0,1,1,0,1,0,1,1,1,Tor 0.2.1.26 on Darwin i386,0,0
BostonUCompSci,US,3984,15,204.8.156.142,cs-tor.bu.edu,443,80,0,1,1,1,1,1,1,1,1,Tor 0.2.1.26 on Linux i686,0,0
bp1,FR,1582,6,213.251.167.55,bp1.saitis.net,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.1.26 on Linux i686,0,0
br41n,US,13,7,72.25.97.8,tor.michaelscope.com,443,80,0,1,1,0,1,1,1,1,1,Tor 0.2.2.16-alpha (git-61e0079ab25db6c3) on Linux i686,0,0
